      -3.867320      -3.533450       5.691220      11.155639     -45.251049       0.004627
      -3.868140      -3.536140       5.675300      11.165236     -45.517414       0.004663
      -3.868910      -3.538790       5.659340      11.174850     -45.784763       0.004699
      -3.869640      -3.541410       5.643340      11.184473     -46.053066       0.004791
      -3.870340      -3.544000       5.627290      11.193769     -46.325619       0.004827
      -3.871000      -3.546550       5.611200      11.203439     -46.596272       0.004834
      -3.871610      -3.549070       5.595060      11.213192     -46.867935       0.004883
      -3.872190      -3.551550       5.578880      11.222980     -47.140827       0.004916
      -3.872720      -3.554000       5.562650      11.232823     -47.414761       0.004957
      -3.873220      -3.556420       5.546380      11.242310     -47.692928       0.004990
      -3.873680      -3.558800       5.530060      11.252189     -47.969196       0.005085
      -3.874090      -3.561150       5.513690      11.262124     -48.246460       0.005128
      -3.874460      -3.563470       5.497280      11.272108     -48.524792       0.005148
      -3.874800      -3.565750       5.480830      11.282177     -48.804516       0.005186
      -3.875090      -3.568000       5.464330      11.291889     -49.088406       0.005226
      -3.875340      -3.570220       5.447780      11.302047     -49.370216       0.005268
      -3.875550      -3.572400       5.431190      11.312244     -49.653316       0.005310
      -3.875720      -3.574550       5.414550      11.322494     -49.937450       0.005350
      -3.875840      -3.576670       5.397860      11.332837     -50.222763       0.005458
      -3.875920      -3.578750       5.381130      11.342813     -50.512474       0.005500
      -3.875970      -3.580800       5.364360      11.353233     -50.800091       0.005544
      -3.875960      -3.582810       5.347530      11.363770     -51.088955       0.005588
      -3.875920      -3.584800       5.330660      11.374412     -51.379005       0.005628
      -3.875830      -3.586750       5.313740      11.385122     -51.670219       0.005669
      -3.875700      -3.588660       5.296780      11.395480     -51.965965       0.005712
      -3.875530      -3.590550       5.279770      11.406278     -52.259487       0.005757
      -3.875310      -3.592400       5.262710      11.417257     -52.554344       0.005802
      -3.875060      -3.594220       5.245600      11.428260     -52.850433       0.005904
      -3.874750      -3.596000       5.228450      11.439331     -53.147480       0.005966
      -3.874400      -3.597750       5.211250      11.450153     -53.449348       0.006013
      -3.874010      -3.599470       5.194000      11.461450     -53.749016       0.006060
      -3.873580      -3.601160       5.176710      11.472861     -54.049843       0.006083
      -3.873100      -3.602810       5.159360      11.484384     -54.351986       0.006129
