    -179     -63  60130.81   4457.79     16.99
    -179     -62  59953.54   4494.74     15.60
    -179     -61  59751.56   4530.94     14.33
    -179     -60  59526.51   4567.96     13.20
    -179     -59  59279.58   4607.39     12.16
    -179     -58  59012.18   4650.32     11.20
    -179     -57  58725.72   4698.08     10.34
    -179     -56  58421.40   4751.57      9.55
    -179     -55  58100.55   4811.68      8.84
    -179     -54  57764.43   4879.14      8.20
    -179     -53  57414.10   4954.50      7.61
    -179     -52  57050.65   5038.05      7.07
    -179     -51  56675.07   5130.00      6.58
    -179     -50  56288.25   5230.25      6.13
    -179     -49  55891.05   5338.71      5.71
    -179     -48  55484.12   5454.93      5.34
    -179     -47  55068.24   5578.45      4.99
    -179     -46  54643.85   5708.43      4.66
    -179     -45  54211.51   5844.17      4.37
    -179     -44  53771.62   5984.41      4.09
    -179     -43  53324.51   6128.16      3.83
    -179     -42  52870.48   6274.08      3.59
    -179     -41  52409.75   6420.77      3.37
    -179     -40  51942.48   6566.79      3.16
    -179     -39  51468.90   6710.57      2.97
    -179     -38  50989.01   6850.39      2.79
    -179     -37  50503.05   6984.84      2.61
    -179     -36  50011.08   7112.04      2.46
    -179     -35  49513.12   7230.41      2.31
    -179     -34  49009.38   7338.38      2.17
    -179     -33  48499.93   7434.41      2.04
    -179     -32  47984.99   7516.90      1.91
    -179     -31  47464.76   7584.66      1.80
    -179     -30  46939.46   7635.98      1.69
    -179     -29  46409.42   7670.08      1.58
    -179     -28  45874.99   7685.74      1.48
    -179     -27  45336.61   7682.14      1.39
    -179     -26  44794.76   7658.36      1.30
    -179     -25  44250.07   7614.03      1.22
    -179     -24  43703.18   7548.64      1.14
    -179     -23  43154.79   7461.83      1.07
    -179     -22  42605.85   7353.78      0.99
    -179     -21  42057.18   7224.34      0.93
    -179     -20  41509.76   7073.71      0.87
    -179     -19  40964.71   6902.25      0.81
    -179     -18  40423.16   6710.60      0.75
    -179     -17  39886.35   6499.36      0.69
    -179     -16  39355.55   6269.20      0.65
    -179     -15  38832.11   6021.01      0.60
    -179     -14  38317.41   5755.61      0.55
    -179     -13  37812.82   5474.16      0.51
    -179     -12  37319.84   5177.04      0.46
    -179     -11  36839.89   4866.29      0.43
